code_commune,libelle_commune,menages_motorises,menages_total,taux_motorisation
68012,Aspach-Michelbach,703.222137149955,725.857062380275,96.8816277469156
06089,Opio,994.107994133446,1021.97785333513,97.27294881090296
55207,Géry,21.3962264150943,21.3962264150943,100.0
77109,Chenoise-Cucharmoy,587.363013550368,656.317318281501,89.49375510741012
07035,Boffres,276.899579582179,294.021963876664,94.17649482075171
50270,Lieusaint,164.2262366343249,169.090009989742,97.12355960253822
36063,Déols,3167.61276174312,3579.53705779021,88.49224663981028
67298,Mittelschaeffolsheim,209.9174700349225,220.587166355738,95.16304756206506
34025,Bassan,1004.0,1079.0,93.04911955514363
76657,Saint-Vigor-d'Ymonville,431.145250742199,445.797576022607,96.7132335238034
30304,Salazac,101.4620038306949,106.161466411828,95.57328780397336
49344,Thorigné-d'Anjou,431.614330490269,441.713857048506,97.71355903893958
59537,Saint-Martin-sur-Écaillon,183.00051207605296,198.093802219903,92.38073580560838
71048,Bourg-le-Comte,76.21714285714279,79.1485714285714,96.29629629629623
2B034,Belgodère,320.43525947211697,345.614004044663,92.71477883480316
02680,Saint-Gobain,792.902115520497,887.80365005106,89.31052665472767
72319,Sainte-Sabine-sur-Longève,292.45357188079004,301.179214148194,97.10284048250736
23033,La Brionne,175.9146408341721,189.173081848595,92.99137018604247
88222,Gugnécourt,84.3804000162576,88.446925318246,95.4022988505746
32280,Mont-d'Astarac,41.6276595744681,43.5638297872341,95.55555555555546
03249,Saint-Palais,76.56172839506179,87.2222222222222,87.77777777777787
38111,Claix,3240.7280978481103,3449.03078710441,93.96054421911444
88165,Étival-Clairefontaine,1084.0,1168.0,92.8082191780822
66221,Valmanya,14.0,15.0,93.33333333333331
53063,Châtelain,175.8738026937608,186.762549766732,94.16973740904088
77225,La Haute-Maison,114.554208924679,115.52797028799,99.15712068611298
08252,Létanne,44.7787610619469,48.6725663716814,92.00000000000004
91376,Marolles-en-Hurepoix,2152.081773141,2331.47218286687,92.30570233502488
17222,Marsilly,1424.3882104108689,1479.24413142724,96.29162490146616
05021,Le Bersac,68.5211267605634,75.3732394366197,90.90909090909096
14658,Noues de Sienne,1772.0346396350728,1934.69283978921,91.59255687472027
80468,Laviéville,58.953488372093005,61.9011627906977,95.23809523809516
39468,Rothonay,55.6875,61.875,90.0
61001,Alençon,9768.527285368613,13614.3710614355,71.7515869171456
25515,Sainte-Colombe,185.0,189.0,97.88359788359789
53234,Saint-Loup-du-Gast,137.0,140.0,97.85714285714286
64213,Espelette,918.294123879506,974.629392790444,94.21982659997096
